gene_ko,RNA_ID,Monomer_ID,Process,KO_index
alr,EG10001_RNA,ALARACEBIOSYN-MONOMER,Metabolism,1
modB,EG10002_RNA,MODB-MONOMER,Metabolism,2
cysZ,EG10003_RNA,EG10003-MONOMER,Metabolism,3
dfp,EG10004_RNA,EG10004-MONOMER,Metabolism,4
dcuB,EG10006_RNA,DCUB-MONOMER,Metabolism,5
hisM,EG10007_RNA,HISM-MONOMER,Metabolism,6
cydC,EG10012_RNA,CYDC-MONOMER,Metabolism,9
mepM,EG10013_RNA,EG10013-MONOMER,Metabolism,10
acrD,EG10014_RNA,ACRD-MONOMER,Metabolism,11
garL,EG10016_RNA,KDGALDOL-MONOMER,Metabolism,13
ispB,EG10017_RNA,OPPSYN-MONOMER,Metabolism,14
yjiA,EG10021_RNA,EG10021-MONOMER,Metabolism,17
aceA,EG10022_RNA,ISOCIT-LYASE-MONOMER,Metabolism,18
aceB,EG10023_RNA,MALATE-SYNTHASE,Metabolism,19
aceE,EG10024_RNA,E1P-MONOMER,Metabolism,20
aceF,EG10025_RNA,E2P-MONOMER,Metabolism,21
aceK,EG10026_RNA,ICITDEHASE-KIN-PHOSPHA,Metabolism,22
ackA,EG10027_RNA,ACETATEKINA-MONOMER,Metabolism,23
pflA,EG10028_RNA,PFLACTENZ-MONOMER,Metabolism,24
ada,EG10029_RNA,PD00230,Metabolism,25
add,EG10030_RNA,ADENODEAMIN-MONOMER,Metabolism,26
adhE,EG10031_RNA,ADHE-MONOMER,Metabolism,27
adk,EG10032_RNA,ADENYL-KIN-MONOMER,Metabolism,28
agp,EG10033_RNA,GLUCOSE-1-PHOSPHAT-MONOMER,Metabolism,29
aldA,EG10035_RNA,LACTALDDEHYDROG-MONOMER,Metabolism,31
puuC,EG10036_RNA,ALDHDEHYDROG-MONOMER,Metabolism,32
alkB,EG10037_RNA,EG10037-MONOMER,Metabolism,33
amn,EG10039_RNA,AMP-NUCLEOSID-MONOMER,Metabolism,34
ampD,EG10041_RNA,EG10041-MONOMER,Metabolism,36
cysQ,EG10043_RNA,EG10043-MONOMER,Metabolism,38
ansA,EG10045_RNA,ANSA-MONOMER,Metabolism,40
ansB,EG10046_RNA,ANSB-MONOMER,Metabolism,41
apaH,EG10048_RNA,EG10048-MONOMER,Metabolism,43
appA,EG10049_RNA,APPA-MONOMER,Metabolism,44
apt,EG10051_RNA,ADENPRIBOSYLTRAN-MONOMER,Metabolism,46
araA,EG10052_RNA,ARABISOM-MONOMER,Metabolism,47
araB,EG10053_RNA,RIBULOKIN-MONOMER,Metabolism,48
araC,EG10054_RNA,PD00242,Transcription Regulation,49
araD,EG10055_RNA,RIBULPEPIM-MONOMER,Metabolism,50
araE,EG10056_RNA,ARAE-MONOMER,Metabolism,51
araF,EG10057_RNA,ARAF-MONOMER,Metabolism,52
araG,EG10058_RNA,ARAG-MONOMER,Metabolism,53
araH,EG10059_RNA,ARAH-MONOMER,Metabolism,54
arcA,EG10061_RNA,ARCA-MONOMER,Transcription Regulation,56
argA,EG10063_RNA,N-ACETYLTRANSFER-MONOMER,Metabolism,58
argB,EG10064_RNA,ACETYLGLUTKIN-MONOMER,Metabolism,59
argC,EG10065_RNA,N-ACETYLGLUTPREDUCT-MONOMER,Metabolism,60
argD,EG10066_RNA,ACETYLORNTRANSAM-MONOMER,Metabolism,61
argF,EG10067_RNA,CHAINF-MONOMER,Metabolism,62
